FactID,DateTime,LastBid,High,Low,Open,Volume,MarketCap,Beta,Company,Symbol,Exchange
7362,2021-05-28 11:06:00.0000000,159.66,159.67,159.64,159.64,430,40154490921,0.74,The Travelers Companies,TRV,NYSE
7363,2021-05-28 11:07:00.0000000,159.64999,159.64999,159.64999,159.64999,129,40151973465,0.74,The Travelers Companies,TRV,NYSE
7364,2021-05-28 11:08:00.0000000,159.62,159.64999,159.62,159.63,884,40144428772,0.74,The Travelers Companies,TRV,NYSE
7365,2021-05-28 11:09:00.0000000,159.57001,159.62,159.57001,159.62,715,40131856842,0.74,The Travelers Companies,TRV,NYSE
7366,2021-05-28 11:10:00.0000000,159.5,159.5,159.455,159.455,432,40114250000,0.74,The Travelers Companies,TRV,NYSE
7367,2021-05-28 11:11:00.0000000,159.48,159.48,159.48,159.48,426,40109218925,0.74,The Travelers Companies,TRV,NYSE
7368,2021-05-28 11:12:00.0000000,159.5,159.5,159.5,159.5,307,40114250000,0.74,The Travelers Companies,TRV,NYSE
7369,2021-05-28 11:13:00.0000000,159.595,159.595,159.595,159.595,159,40138142807,0.74,The Travelers Companies,TRV,NYSE
7370,2021-05-28 11:14:00.0000000,159.63499,159.63499,159.63499,159.63499,305,40148201118,0.74,The Travelers Companies,TRV,NYSE
7371,2021-05-28 11:15:00.0000000,159.64999,159.64999,159.61,159.645,848,40151973465,0.74,The Travelers Companies,TRV,NYSE
7372,2021-05-28 11:16:00.0000000,159.60001,159.675,159.60001,159.675,864,40139401535,0.74,The Travelers Companies,TRV,NYSE
7373,2021-05-28 11:17:00.0000000,159.66,159.66,159.66,159.66,714,40154490921,0.74,The Travelers Companies,TRV,NYSE
7374,2021-05-28 11:18:00.0000000,159.63,159.74001,159.63,159.74001,5296,40146946228,0.74,The Travelers Companies,TRV,NYSE
7375,2021-05-28 11:19:00.0000000,159.49001,159.64,159.49001,159.63,5345,40111736382,0.74,The Travelers Companies,TRV,NYSE
7376,2021-05-28 11:20:00.0000000,159.455,159.52,159.41,159.465,12562,40102932961,0.74,The Travelers Companies,TRV,NYSE
7377,2021-05-28 11:21:00.0000000,159.67999,159.71001,159.46001,159.48,18744,40159518158,0.74,The Travelers Companies,TRV,NYSE
7378,2021-05-28 11:22:00.0000000,159.7,159.75999,159.7,159.72,3744,40164549232,0.74,The Travelers Companies,TRV,NYSE
7379,2021-05-28 11:24:00.0000000,159.67999,159.7,159.66,159.7,2163,40159518158,0.74,The Travelers Companies,TRV,NYSE
7380,2021-05-28 11:25:00.0000000,159.65199,159.73,159.65199,159.73,343,40152476189,0.74,The Travelers Companies,TRV,NYSE
7381,2021-05-28 11:26:00.0000000,159.71001,159.71001,159.71001,159.71001,242,40167066689,0.74,The Travelers Companies,TRV,NYSE
7382,2021-05-28 11:28:00.0000000,159.71001,159.72,159.71001,159.72,696,40167066689,0.74,The Travelers Companies,TRV,NYSE
7383,2021-05-28 11:29:00.0000000,159.78,159.78,159.745,159.75301,3584,40184669693,0.74,The Travelers Companies,TRV,NYSE
7384,2021-05-28 11:30:00.0000000,159.86459,159.86459,159.77,159.78999,957,40205945267,0.74,The Travelers Companies,TRV,NYSE
7385,2021-05-28 11:31:00.0000000,159.77,159.86,159.77,159.84,3426,40182156075,0.74,The Travelers Companies,TRV,NYSE
7386,2021-05-28 11:32:00.0000000,159.77,159.77,159.72501,159.72501,1087,40182156075,0.74,The Travelers Companies,TRV,NYSE
