FactID,DateTime,LastBid,High,Low,Open,Volume,MarketCap,Beta,SecurityID
1722,2021-05-28 10:38:00.0000000,103.54500,103.61000,103.52000,103.60000,22045,200128000000,1.310,8
1723,2021-05-28 10:39:00.0000000,103.58000,103.61000,103.55000,103.55440,27540,200195000000,1.310,8
1724,2021-05-28 10:40:00.0000000,103.65500,103.68000,103.59000,103.59000,10160,200340000000,1.310,8
1725,2021-05-28 10:41:00.0000000,103.68000,103.70000,103.65000,103.65360,12282,200388000000,1.310,8
1726,2021-05-28 10:42:00.0000000,103.67500,103.69000,103.66000,103.68000,6329,200379000000,1.310,8
1727,2021-05-28 10:43:00.0000000,103.79000,103.79000,103.69000,103.69000,7582,200601000000,1.310,8
1728,2021-05-28 10:44:00.0000000,103.74000,103.80500,103.73000,103.77180,34440,200504000000,1.310,8
1729,2021-05-28 10:45:00.0000000,103.72000,103.76000,103.71500,103.74160,7228,200466000000,1.310,8
1730,2021-05-28 10:46:00.0000000,103.68700,103.74000,103.68700,103.70900,7439,200402000000,1.310,8
1731,2021-05-28 10:47:00.0000000,103.65000,103.73000,103.65000,103.69000,14941,200330000000,1.310,8
1732,2021-05-28 10:48:00.0000000,103.67000,103.67000,103.62000,103.65000,12836,200369000000,1.310,8
1733,2021-05-28 10:49:00.0000000,103.70500,103.70500,103.65000,103.67500,36880,200437000000,1.310,8
1734,2021-05-28 10:50:00.0000000,103.69500,103.70000,103.66000,103.70000,5970,200417000000,1.310,8
1735,2021-05-28 10:51:00.0000000,103.69000,103.71000,103.67000,103.71000,11785,200408000000,1.310,8
1736,2021-05-28 10:52:00.0000000,103.71000,103.73000,103.68500,103.69000,14961,200446000000,1.310,8
1737,2021-05-28 10:53:00.0000000,103.72000,103.74000,103.71000,103.71000,11555,200466000000,1.310,8
1738,2021-05-28 10:54:00.0000000,103.74000,103.77000,103.72000,103.72000,14026,200504000000,1.310,8
1739,2021-05-28 10:55:00.0000000,103.77000,103.78000,103.72000,103.75000,13552,200562000000,1.310,8
1740,2021-05-28 10:56:00.0000000,103.75500,103.80000,103.75000,103.77000,26282,200533000000,1.310,8
1741,2021-05-28 10:57:00.0000000,103.68000,103.75500,103.67000,103.75500,24428,200388000000,1.310,8
1742,2021-05-28 10:58:00.0000000,103.68500,103.70000,103.66500,103.67500,14839,200398000000,1.310,8
1743,2021-05-28 10:59:00.0000000,103.72000,103.75000,103.68000,103.68000,11256,200466000000,1.310,8
1744,2021-05-28 11:00:00.0000000,103.78000,103.79500,103.71000,103.72000,7734,200582000000,1.310,8
1745,2021-05-28 11:01:00.0000000,103.81000,103.82000,103.79000,103.80360,9023,200640000000,1.310,8
1746,2021-05-28 11:02:00.0000000,103.79000,103.82000,103.78000,103.80000,8334,200601000000,1.310,8
1747,2021-05-28 11:03:00.0000000,103.78000,103.82000,103.74000,103.78990,9021,200582000000,1.310,8
1748,2021-05-28 11:04:00.0000000,103.76290,103.79000,103.75790,103.78000,7965,200549000000,1.310,8
1749,2021-05-28 11:05:00.0000000,103.76640,103.78480,103.74000,103.76000,7660,200555000000,1.310,8
1750,2021-05-28 11:06:00.0000000,103.74500,103.80000,103.70000,103.77000,18741,200514000000,1.310,8
1751,2021-05-28 11:07:00.0000000,103.75000,103.75000,103.72000,103.73000,8314,200524000000,1.310,8
1752,2021-05-28 11:08:00.0000000,103.80000,103.80000,103.73010,103.76000,20439,200620000000,1.310,8
1753,2021-05-28 11:09:00.0000000,103.75000,103.79980,103.71000,103.79000,10518,200524000000,1.310,8
1754,2021-05-28 11:10:00.0000000,103.76000,103.77000,103.72000,103.75000,10390,200543000000,1.310,8
1755,2021-05-28 11:11:00.0000000,103.79000,103.80000,103.75000,103.75000,10982,200601000000,1.310,8
1756,2021-05-28 11:12:00.0000000,103.81000,103.84000,103.78990,103.80000,11373,200640000000,1.310,8
1757,2021-05-28 11:13:00.0000000,103.80640,103.83000,103.80640,103.81010,5417,200633000000,1.310,8
1758,2021-05-28 11:14:00.0000000,103.80000,103.82000,103.75990,103.81000,13086,200620000000,1.310,8
